Date,Close,High,Low,Open,Volume,returns,log_returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR,Volume_SMA,Volume_Ratio,Price_Position,Volatility
2020-07-28,560.0,560.0,560.0,560.0,300,-0.999888,-9.09701168666918,4000112.0,4500056.0,4750028.0,4230855.384615387,4629671.111111123,-398815.7264957363,-79763.14529915548,-319052.5811965808,0.0,4750028.0,6985845.537886333,2514210.462113667,0.9413913088033724,357102.85714285716,15.0,20.0,0.0,0.22358175378863096
2020-07-29,700.0,700.0,700.0,700.0,100,0.25,0.22314355131420976,3000252.0,4000126.0,4500063.0,3580062.2485207114,4286784.362139929,-706722.1136192176,-205154.93896316795,-501567.1746560497,0.002800235219766023,4500063.0,7577610.236773588,1422515.7632264122,1.3677796229846506,357112.85714285716,20.0,5.0,0.0,0.23330118459292734
2020-07-30,700.0,700.0,700.0,700.0,0,0.0,0.0,2000392.0,3500196.0,4250098.0,3029391.1333636786,3969296.631611045,-939905.4982473664,-352105.05082000775,-587800.4474273587,0.002800235219766023,4250098.0,7913094.791570662,587101.2084293384,1.7237234489984286,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-03,700.0,700.0,700.0,700.0,0,0.0,0.0,1000532.0,3000266.0,4000133.0,2563438.6513077277,3675326.510750967,-1111887.8594432394,-504061.6125446541,-607826.2468985852,0.002800235219766023,4000133.0,8103500.588234419,-103234.58823441947,2.0516155778992444,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-04,700.0,700.0,700.0,700.0,0,0.0,0.0,672.0,2500336.0,3750168.0,2169171.166491154,3403131.954399043,-1233960.787907889,-650041.4476173013,-583919.3402905879,0.002800235219766023,3750168.0,8192187.495895998,-691851.4958959976,2.368970934579996,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-05,700.0,700.0,700.0,700.0,0,0.0,0.0,700.0,2000406.0,3500203.0,1835560.2178002074,3151099.9577768915,-1315539.739976684,-783141.1060891779,-532398.6338875062,0.002800235219766023,3500203.0,8201190.173807123,-1200784.1738071227,2.686122589922426,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-06,700.0,700.0,700.0,700.0,0,0.0,0.0,700.0,1500476.0,3250238.0,1553274.0304463292,2917736.9979415657,-1364462.9674952365,-899405.4783703897,-465057.4891248469,0.002800235219766023,3250238.0,8143177.319397862,-1642701.319397862,3.010819096569459,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-07,700.0,700.0,700.0,700.0,0,0.0,0.0,700.0,1000546.0,3000273.0,1314416.48730074,2701660.1832792275,-1387243.6959784874,-996973.1218920093,-390270.5740864781,0.002800235219766023,3000273.0,8025833.817157795,-2025287.8171577947,3.3500690218242104,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-10,700.0,700.0,700.0,700.0,0,0.0,0.0,700.0,500616.0,2750308.0,1112306.2584852416,2501589.058591877,-1389282.8001066356,-1075435.0575349345,-313847.74257170106,0.002800235219766023,2750308.0,7853787.1504644565,-2353171.1504644565,3.711205545316711,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
2020-08-11,700.0,700.0,700.0,700.0,0,0.0,0.0,700.0,686.0,2500343.0,941289.9110259736,2316338.0172147006,-1375048.106188727,-1135357.6672656932,-239690.4389230339,0.002800235219766023,2500343.0,7629530.939638269,-2628844.939638269,4.102787449272575,357112.85714285716,20.0,0.0,0.0,0.23330118459292734
