Date,Close,High,Low,Open,Volume,returns,log_returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR,Volume_SMA,Volume_Ratio,Price_Position,Volatility
2018-09-05,5.700000110664405e-05,6.600000051548705e-05,5.700000110664405e-05,5.8000001445179805e-05,3340,-0.03389831553570444,-0.03448618688882834,6.000000066705979e-05,5.350000028556678e-05,4.5850000242353416e-05,5.3311442165236254e-05,4.949395864638171e-05,3.817483518854547e-06,2.622311016679273e-06,1.195172502175274e-06,71.42857036793625,4.5850000242353416e-05,6.788609562659014e-05,2.381390485811669e-05,0.9612255296732204,7.714284428012824e-06,8587.6,0.38893287996646325,0.0,0.1297727321268959
2018-09-06,5.500000042957254e-05,5.8000001445179805e-05,4.8999998398358e-05,5.700000110664405e-05,4248,-0.03508773049547165,-0.03571809420647719,5.780000064987689e-05,5.5100000463426116e-05,4.650000028050272e-05,5.357797553966557e-05,4.999374444682682e-05,3.5842310928387448e-06,2.8161251276322167e-06,7.681059652065281e-07,67.99999796273197,4.650000028050272e-05,6.882298877110973e-05,2.4177011789895702e-05,0.9601285314386101,8.21428485713633e-06,8279.45,0.5130775594997252,0.6659267483079244,0.1280917900236569
2018-09-07,5.500000042957254e-05,5.700000110664405e-05,4.999999873689376e-05,5.500000042957254e-05,1664,0.0,0.0,5.660000097122975e-05,5.6600000607431864e-05,4.725000035250559e-05,5.3801543101000237e-05,5.044070191088295e-05,3.360841190117286e-06,2.9257152460065614e-06,4.3512594411072453e-07,67.99999796273197,4.725000035250559e-05,6.966122923711507e-05,2.4838771467896115e-05,0.9486234377740507,8.571428095040443e-06,7143.75,0.23293088363954506,0.7132667621133613,0.12721488825383775
2018-09-08,5.199999941396527e-05,5.999999848427251e-05,4.8999998398358e-05,5.500000042957254e-05,1864,-0.05454547258501874,-0.05608948573135203,5.5600000632693994e-05,5.760000058216974e-05,4.7850000373728105e-05,5.351926019174306e-05,5.0577830520490603e-05,2.94142967125246e-06,2.9288730433319905e-06,1.2556627920469428e-08,64.15094041746147,4.7850000373728105e-05,7.00858182140048e-05,2.5614182533451416e-05,0.9293967676742255,9.142856859918019e-06,5944.65,0.31355925075488045,0.27247965415052794,0.1282924825507107
2018-09-09,5.8000001445179805e-05,6.399999983841553e-05,5.199999941396527e-05,5.199999941396527e-05,2075,0.11538465574680679,0.10919932815178361,5.540000056498684e-05,5.8900000658468345e-05,4.8850000530364925e-05,5.421935454028719e-05,5.1221626733583105e-05,2.997727806704083e-06,2.9426962184856347e-06,5.5031588218448236e-08,67.79660839282866,4.8850000530364925e-05,7.101944394502932e-05,2.6680557115700532e-05,0.9076537635197761,9.857142816014988e-06,5231.75,0.39661681081855976,0.49958383173738935,0.12891789285073094
2018-09-10,5.900000178371556e-05,6.299999949987978e-05,5.700000110664405e-05,5.8000001445179805e-05,8474,0.017241384717566532,0.01709443867487398,5.5800000700401144e-05,5.790000068373047e-05,4.9900000703928526e-05,5.496452007021707e-05,5.188788148009683e-05,3.0766385901202456e-06,2.9695659014462968e-06,1.0707268867394878e-07,67.24137941848925,4.9900000703928526e-05,7.189425842952818e-05,2.7905742978328862e-05,0.8815333633399367,1.0142857198453775e-05,5392.35,1.5714855304273645,0.33277890378848,0.1287812862826987
2018-09-11,5.700000110664405e-05,5.999999848427251e-05,5.400000009103678e-05,5.900000178371556e-05,3643,-0.03389831553570444,-0.03448618688882834,5.620000083581544e-05,5.700000074284617e-05,5.095000069559319e-05,5.5281151858452064e-05,5.2320745931423746e-05,2.9604059270283177e-06,2.9677294663350565e-06,-7.323539306738862e-09,64.40677924297866,5.095000069559319e-05,7.214061452229565e-05,2.975938686889073e-05,0.8318199622138688,1.0357142725427235e-05,4706.75,0.7739947947097254,0.49916835568272,0.12822746545553684
2018-09-12,6.299999949987978e-05,6.299999949987978e-05,5.400000009103678e-05,5.700000110664405e-05,9280,0.10526312766222667,0.10008343120375868,5.780000064987689e-05,5.720000081055332e-05,5.2250000589992854e-05,5.6479816991251384e-05,5.321551812549006e-05,3.264298865761323e-06,3.0271582982993356e-06,2.3714056746198756e-07,66.66666474181037,5.2250000589992854e-05,7.302321231447448e-05,3.147678886551123e-05,0.7951468512886563,1.0714285443620092e-05,4581.05,2.0257364577989763,0.99889012201375,0.12934206238012602
2018-09-13,8.099999831756577e-05,8.099999831756577e-05,6.0999998822808266e-05,6.299999949987978e-05,14034,0.28571426921551546,0.2513144154485291,6.360000043059699e-05,5.960000053164549e-05,5.4450000425276814e-05,6.028208024499974e-05,5.5521077765803446e-05,4.761002479196296e-06,3.3744645648953704e-06,1.3865379143009253e-06,73.076920206723,5.4450000425276814e-05,7.760599299017358e-05,3.1294007860380047e-05,0.8505415017094207,1.121428535303234e-05,5066.75,2.769822864755514,0.9995002498624439,0.14075052035127278
2018-09-14,7.100000220816582e-05,8.900000102585182e-05,6.70000008540228e-05,8.099999831756577e-05,8906,-0.12345674465565182,-0.13176922575940353,6.62000005831942e-05,6.080000057409052e-05,5.6150000455090775e-05,6.194204684031572e-05,5.6794182515628044e-05,5.147864324687678e-06,3.7295841335866484e-06,1.4182801911010297e-06,51.56250053290705,5.6150000455090775e-05,7.890059354769684e-05,3.339940736248471e-05,0.810350593346911,1.1071428161812946e-05,5256.5,1.694283268334443,0.18173563484396038,0.14557012582824203
2018-09-15,7.300000288523734e-05,7.599999662488699e-05,6.600000051548705e-05,7.100000220816582e-05,4849,0.028169022744642724,0.027779572529947363,6.900000080349855e-05,6.240000075194985e-05,5.7950000518758314e-05,6.36529123602497e-05,5.811626660831968e-05,5.536645751930013e-06,4.091354737507826e-06,1.4452910144221868e-06,55.55555748041208,5.7950000518758314e-05,8.000710430548472e-05,3.5892896732031906e-05,0.7612460255142384,1.0357142465571606e-05,5387.55,0.9000380506909448,0.6993012078373236,0.14528475433922322
