Date,Close,High,Low,Open,Volume,returns,log_returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR,Volume_SMA,Volume_Ratio,Price_Position,Volatility
2021-05-06,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,27406652,0.0,0.0,1.9999999949504854e-06,1.6999999957079126e-06,1.6999999957079126e-06,1.7259595023100654e-06,1.3604553100144045e-06,3.65504192295661e-07,3.409055518762649e-07,2.4598640419396067e-08,50.0,1.6999999957079126e-06,3.165390186138251e-06,2.3460980527757433e-07,1.7239884636824623,4.285714274893897e-07,163527206.05,0.16759689511004153,0.9900990098762401,0.4832728334791305
2021-05-07,3.000000106112566e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,367358434,0.5000000568434191,0.40546514600377637,2.2000000171829016e-06,1.900000006571645e-06,1.7500000012660167e-06,1.9219657490489116e-06,1.4819030739360474e-06,4.4006267511286423e-07,3.607369765235848e-07,7.932569858927941e-08,100.0,1.7500000012660167e-06,3.322795047631115e-06,1.7720495490091859e-07,1.7974800516883183,5.000000068581098e-07,158853442.15,2.3125620007221226,0.9950248758907881,0.4472135981758687
2021-05-08,1.5999999959603883e-05,1.8999999156221747e-05,3.000000106112566e-06,3.000000106112566e-06,6118033567,4.333333131223407,1.6739763956760596,5.000000010113581e-06,3.400000002784509e-06,2.4499999994986864e-06,4.087817166057369e-06,2.557317668289567e-06,1.5304994977678025e-06,5.946894807724285e-07,9.358100169953741e-07,100.0,2.4499999994986864e-06,9.018665634885134e-06,-4.118665635887762e-06,5.362176029984093,1.5714285106176767e-06,457617939.35,13.369304480698567,0.8119925437099049,1.0455978048201207
2021-05-09,1.5999999959603883e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.5999999959603883e-05,6171534719,0.0,0.0,7.80000000304426e-06,4.899999998997373e-06,3.049999997983832e-06,5.920460672756833e-06,3.5530719208611828e-06,2.3673887518956505e-06,9.49229334997073e-07,1.4181594168985774e-06,100.0,3.049999997983832e-06,1.1981906119477871e-05,-5.881906123510206e-06,5.856987624523524,2.1428570156396224e-06,744973725.4,8.284231387739625,0.4993757802022057,1.0350579423967967
2021-05-10,3.5000000934815034e-05,3.899999865097925e-05,1.4000000192027073e-05,1.5999999959603883e-05,19546576207,1.1875000639488462,0.7827593684833903,1.440000019101717e-05,8.200000092983827e-06,4.70000004497706e-06,1.0394236097688867e-05,5.882474089040415e-06,4.511762008648452e-06,1.6617358697273492e-06,2.850026138921103e-06,100.0,4.70000004497706e-06,2.1522291364161783e-05,-1.2122291274207665e-05,7.158421769447805,3.928571191279064e-06,1695998108.75,11.525116747569015,0.8396642157837133,1.038047953137597
2021-05-11,3.099999958067201e-05,3.7999998312443495e-05,2.8000000384054147e-05,3.5000000934815034e-05,9743912953,-0.11428574992305673,-0.12136089723997746,2.0200000108161476e-05,1.110000005155598e-05,6.200000024136898e-06,1.3564353556609353e-05,7.74303154691479e-06,5.821322009694563e-06,2.4936530977207924e-06,3.3276689119737706e-06,89.47368128175201,6.200000024136898e-06,2.660227044117452e-05,-1.4202270392900723e-05,6.581377528261484,4.642856757592588e-06,2168650504.85,4.493076653526503,0.2997002814665494,1.024904268250356
2021-05-12,1.8000000636675395e-05,3.099999958067201e-05,1.8000000636675395e-05,2.9999999242136255e-05,7320441816,-0.41935481031754274,-0.5436153976914174,2.320000021427404e-05,1.2700000115728472e-05,7.000000056223143e-06,1.4246760799696438e-05,8.502807040357583e-06,5.743953759338855e-06,3.1437132300444053e-06,2.6002405292944495e-06,66.66666688958203,7.000000056223143e-06,2.7956094733032526e-05,-1.3956094620586238e-05,5.987455573855027,5.499999539486973e-06,2524956486.15,2.899234840740584,0.0,1.0281441727191378
2021-05-13,2.099999983329326e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.8000000636675395e-05,6879491005,0.166666616139185,0.15415063651798736,2.4200000189011918e-05,1.4600000099562749e-05,8.000000048014044e-06,1.5285720651019027e-05,9.428525031012683e-06,5.857195620006344e-06,3.686409708036793e-06,2.1707859119695506e-06,68.51851821831664,8.000000048014044e-06,2.9647900336968752e-05,-1.3647900240940665e-05,5.411975039757326,6.071428198798198e-06,2861380952.3,2.404255539434626,0.6659266808633493,1.0115370729973208
2021-05-14,1.8999999156221747e-05,2.2000000171829015e-05,1.8000000636675395e-05,2.099999983329326e-05,2909604830,-0.09523812823563571,-0.10008349502794898,2.4800000028335488e-05,1.6300000015689876e-05,8.90000000595137e-06,1.5857148113357907e-05,1.0137523118611623e-05,5.7196249947462835e-06,4.093052765378692e-06,1.6265722293675917e-06,65.45454437968809,8.90000000595137e-06,3.081754894238598e-05,-1.3017548930483241e-05,4.925291892534493,6.285713880060939e-06,3002676475.15,0.9690037718281486,0.2493762183211932,1.0134081280908391
2021-05-15,1.5999999959603883e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8000000636675395e-05,2607873205,-0.15789470157084107,-0.17185021504203388,2.099999983329326e-05,1.7700000012155214e-05,9.650000004057802e-06,1.5879125320472673e-05,1.0571780664799177e-05,5.307344655673496e-06,4.335911143437653e-06,9.71433512235843e-07,62.068965422615,9.650000004057802e-06,3.145560053199812e-05,-1.2155600523882516e-05,4.519295444304895,6.571428132571912e-06,3128542233.5,0.8335745565699105,0.24937667193456337,1.0167069132320776
