Day,Forecast,Signal,Confidence
1377,2090.2575289979945,sell,92.5
1378,2086.615303112455,sell,92.5
1379,2100.621538104171,sell,92.5
1380,2060.573253033594,sell,92.5
1381,2060.767919072399,sell,92.5
1382,2041.83860425882,sell,92.5
1383,2081.2291827128533,sell,92.5
1384,2043.1991065744044,sell,92.5
1385,2038.5689707915194,sell,92.5
1386,2029.2528103630136,sell,92.5
1387,2022.417629449869,sell,92.5
1388,1990.8609415865644,sell,92.5
1389,1972.9400562527846,sell,92.5
1390,1972.1154930315513,sell,92.5
1391,1977.3960455793188,sell,92.5
1392,1967.3808693748558,sell,92.5
1393,1967.8414800020412,sell,92.5
1394,1971.937026663105,sell,92.5
1395,1997.6942325381672,sell,92.5
1396,1992.183374676807,sell,92.5
1397,1992.7087839854253,sell,92.5
1398,2013.5601896870069,sell,92.5
1399,2021.9243494874613,sell,92.5
1400,2023.746542408255,sell,92.5
1401,2021.108426090419,sell,92.5
1402,2051.670454193729,sell,92.5
1403,2085.926007138713,sell,92.5
1404,2082.9004487048096,sell,92.5
1405,2101.67154673789,sell,92.5
1406,2097.076510240781,sell,92.5
