Day,Actual,Predicted
0,1698.2218017578123,1884.9581655555357
1,1739.6420898437502,1858.5958574414408
2,1758.4693603515625,1802.1162859900796
3,1758.4693603515625,1809.6561394307732
4,1758.4693603515625,1753.1824123661422
5,1747.1728515624998,1734.3931264849625
6,1758.4693603515625,1689.2153466010918
7,1792.3583984375002,1655.3456675658408
8,1863.9022216796875,1757.0249827895145
9,1799.889404296875,1734.4367443322471
10,1811.1855468750002,1723.1536244418426
11,1841.3095703125,1696.8013795520849
12,1811.1855468750002,1745.7542474328952
13,1837.5439453125,1723.1614296076705
14,1830.0130615234377,1764.5879354729987
15,1826.2476806640625,1783.3925660318919
16,1826.2476806640625,1783.3944382596756
17,1784.8275146484373,1783.378068916756
18,1754.7037353515625,1772.0723684412578
19,1758.4693603515625,1783.3536793548174
20,1739.6420898437502,1817.2290857625621
21,1818.7166748046877,1888.764101035249
22,1867.6676025390625,1824.7455363559598
23,1920.3840332031252,1836.0288965999312
24,2005.107177734375,1866.1418715235577
25,2061.5888671875,1836.0257087526238
26,2023.9340820312502,1862.370218052586
27,2127.484375,1854.8279484260365
28,2136.898193359375,1851.059305699744
29,2165.138671875,1851.0648970827197
30,2155.7255859375,1809.6622115208825
31,2165.138671875,1779.5574592192788
32,2136.898193359375,1783.337765418656
33,2221.62060546875,1764.514880638872
34,2240.4482421875,1843.595391335979
35,2278.1025390625,1892.5396507640407
36,2372.239013671875,1945.2665946267725
37,2391.06640625,2029.9810055804128
38,2259.275634765625,2086.455010949174
39,2353.411865234375,2048.7865975535733
40,2391.06640625,2152.326764879612
41,2391.06640625,2161.716088416262
42,2391.06640625,2189.9398210537165
43,2504.0302734375,2180.5080434870524
44,2504.0302734375,2189.906222155112
45,2485.202880859375,2161.6431727342006
46,2475.7890625,2246.356470471321
47,2475.7890625,2265.1758005483534
48,2447.548095703125,2302.8122848701296
49,2513.44384765625,2396.9203710249985
50,2513.44384765625,2415.7193089994144
51,2504.0302734375,2283.9193307005226
52,2485.202880859375,2378.040218845372
53,2372.239013671875,2415.6724527040715
54,2353.411865234375,2415.6562098630293
55,2428.720947265625,2415.6312130920796
56,2372.239013671875,2528.568395268907
57,2325.170654296875,2528.5427912889463
58,2400.480224609375,2509.7003872694986
59,2447.548095703125,2500.27002652386
60,2409.8935546875,2500.2443213423976
61,2419.3076171875,2471.983548955277
62,2438.134521484375,2537.8572763150005
63,2456.962158203125,2537.829243498996
64,2447.548095703125,2528.399287559365
65,2456.962158203125,2509.5556691218953
66,2428.720947265625,2396.5961214131657
67,2381.65283203125,2377.767227794211
68,2372.239013671875,2453.0694436717895
69,2343.998291015625,2396.595311801151
70,2419.3076171875,2349.5272017149637
71,2419.3076171875,2424.8331620481094
72,2362.82568359375,2471.8982866899933
73,2343.998291015625,2434.235489977744
74,2287.51611328125,2443.6493042778347
75,2249.86181640625,2462.463118873018
76,2174.552490234375,2481.295858149042
77,2089.829833984375,2471.8785523971383
78,2202.79345703125,2481.2821959462963
79,2221.62060546875,2453.029013671812
80,2372.239013671875,2405.9507328346917
81,2362.82568359375,2396.525634567148
82,2372.239013671875,2368.2938564102988
83,2372.239013671875,2443.571429722184
84,2343.998291015625,2443.5523532390907
85,2334.58447265625,2387.0482151231627
86,2334.58447265625,2368.212591604337
87,2343.998291015625,2311.7375489201822
88,2391.06640625,2274.1031392291934
89,2315.757568359375,2198.820050435459
90,2268.688720703125,2114.107663511855
91,2259.275634765625,2227.0917525847763
