Day,Actual,Predicted
0,1733.3654610770088,1923.771892672933
1,1724.5963309151787,1899.2705807038376
2,1721.4075666155134,1899.31364015283
3,1714.7642822265625,1898.334775263379
4,1694.967293875558,1888.7457758175383
5,1667.0655168805804,1863.6007008113836
6,1641.1567121233259,1846.6169785762418
7,1620.6954084123884,1821.2182524186946
8,1615.1150512695312,1810.3979693360147
9,1610.3318917410713,1795.5385008026335
10,1601.031284877232,1791.5771061864953
11,1594.6537214006696,1791.8011422962131
12,1594.3879917689735,1777.4939027934033
13,1590.4020298549108,1752.7736710584857
14,1580.835702078683,1740.3503291310583
15,1571.80082484654,1708.0232143902524
16,1557.4513288225446,1697.4523250633142
17,1537.7872140066963,1692.0192159928065
18,1522.906258719308,1688.2795420606815
19,1515.2000383649554,1686.315164769273
20,1513.07417515346,1681.704853426604
21,1515.73148890904,1664.5106141802135
22,1506.4308994838168,1652.511807423022
23,1506.4308994838168,1632.4202237085317
24,1513.074183872768,1612.835083348581
25,1525.297834123884,1615.1951930348264
26,1542.8361031668526,1613.2454365363756
27,1556.1226632254463,1604.0414326323053
28,1578.444091796875,1605.182134574842
29,1611.394784109933,1597.5508462351147
30,1646.604204450335,1594.798029145679
31,1677.163286481585,1592.9018822214075
32,1702.939243861607,1591.169682375259
33,1730.3095703125,1601.7738652830963
34,1747.5821097237726,1615.4035066570978
35,1772.1622576032366,1630.2947562755548
36,1793.155038016183,1647.9686247530014
37,1807.238804408482,1658.5767102735183
38,1818.1337890625,1677.25856385321
39,1823.1826782226562,1692.512140248877
40,1821.3225620814733,1705.3575245293503
41,1832.4833025251116,1722.697523558409
42,1837.1336059570312,1736.0092420449246
43,1830.4903215680804,1749.7504719996623
44,1821.5883004324776,1764.1601130715414
45,1822.6512451171875,1766.0709741527107
46,1830.6231689453127,1780.62581482362
47,1833.5462210518974,1799.7597085901848
48,1840.9867030552455,1802.2853151959525
49,1842.3153599330358,1807.7750401594976
50,1846.3013305664062,1811.5826083485767
51,1858.3921072823662,1820.4809013684749
52,1868.224173409598,1825.1303882202442
53,1877.9233572823662,1828.3788931383656
54,1890.1469988141741,1835.2472300356055
55,1894.1329607282369,1845.5691364081365
56,1900.7762538364955,1858.346215630321
57,1908.0838710239955,1861.5289923348894
58,1914.3285609654017,1861.6828187619485
59,1918.3145315987722,1878.4723813480784
60,1926.552211216518,1885.500744037974
61,1937.8457815987726,1900.892648446709
62,1956.4469604492188,1914.8065269987505
63,1970.3978445870537,1914.4551424752742
64,1992.3206699916293,1931.131473275329
65,2007.6001935686384,1930.549218401748
66,2019.5580880301338,1935.0362893440056
67,2036.1663120814733,1958.529308109855
68,2042.809579031808,1970.5973442283384
69,2050.117196219308,1985.6624001569517
70,2061.4107578822545,2008.8521355010612
71,2074.6973092215403,2011.4843263803969
72,2091.3055332728795,2035.5135155791884
73,2109.906729561942,2046.6641576261234
74,2127.843584333147,2053.085617362356
75,2147.109113420759,2071.15557301761
76,2156.409737723214,2080.646839091367
77,2167.7033168247767,2093.813694089035
78,2175.0109340122767,2107.637271038593
79,2181.6542445591517,2102.5778791459397
80,2189.626203264509,2143.5676363228263
81,2201.5841064453125,2148.998803423388
82,2224.1712820870534,2155.128930322163
83,2243.4368198939733,2181.758940116549
84,2257.3877301897323,2177.010599525419
85,2262.0380336216517,2192.4702488088046
86,2270.674298967634,2206.885043570155
87,2277.981916155134,2207.7911219322114
88,2277.981916155134,2247.05992028129
89,2272.0029645647323,2248.6081931662184
90,2266.688302176339,2253.8766829382366
91,2265.3596540178573,2277.0251140754203
92,2255.3947230747767,2276.6601731078986
93,2236.1291939871653,2294.542280516465
94,2222.178292410714,2285.319491787726
95,2208.8917236328125,2267.6382288862546
96,2190.954851422991,2285.2450247094166
97,2173.6822684151784,2274.581891810049
98,2156.409737723214,2260.2677060301253
99,2146.44482421875,2256.8648518468826
100,2129.172284807478,2253.470512454941
101,2108.578098842076,2248.7151508955453
102,2087.9839215959823,2222.2148049406223
103,2065.396754673549,2185.8973527623693
104,2052.1102033342636,2179.0118742457994
105,2030.1873866489955,2162.4025040633014
106,2011.5861990792412,2131.5623034262494
107,2000.5583496093748,2119.5819920655135
108,1993.2507324218752,2100.380540152177
109,1978.635506766183,2089.8187631457545
110,1969.999241420201,2065.9705879532644
111,1966.0132795061384,2019.192752007109
112,1965.348937988281,2008.1992601434868
113,1962.0272827148438,1998.6414069079317
114,1964.020263671875,1982.828057675365
115,1972.656529017857,1970.2250461823678
116,1985.27876499721,1959.4346022148177
117,2003.8799525669642,1954.1890426263908
118,2010.523228236607,1945.0100976037374
119,2021.8168073381696,1922.3555243620212
120,2038.425005231585,1919.6682487582593
121,2056.7604457310267,1930.2074316912733
122,2065.396719796317,1941.3690533375175
123,2072.0400041852677,1944.3454583897603
124,2077.3546316964284,1946.1894708901004
125,2084.6622488839284,1954.6181432932785
126,2090.64120047433,1960.0759004438685
127,2104.5920933314733,1959.8899941671264
128,2116.5500139508927,1952.4858976382789
129,2118.542986188616,1969.1343686387254
130,2126.5149274553573,1985.0044084554816
131,2133.8225620814733,1994.3728075845856
132,2148.4377964564733,2002.8189577172768
133,2169.696306501116,2006.8246815319874
134,2187.6331961495534,2012.8233520036565
135,2201.5841238839284,2022.1531731528742
136,2220.8496442522323,2014.3243453895175
137,2240.7795061383927,2044.274227497536
138,2259.380702427455,2065.8237824944713
139,2274.6602608816966,2079.3623006633197
140,2289.2754952566966,2091.272327650245
141,2297.911795479911,2094.4402781611884
142,2308.5410505022323,2116.16091324124
143,2327.8065883091517,2135.8357576744597
144,2342.4218226841517,2144.377661863713
145,2360.358660016741,2178.0839113762763
146,2373.645246233259,2192.8690995592274
147,2372.316580636161,2197.971999047784
148,2376.3025425502233,2217.511054967096
149,2388.924787248884,2223.4653588946167
150,2397.5610700334823,2243.724512208091
151,2408.1903076171875,2276.048676648402
152,2420.148210797991,2280.0674340690953
153,2428.784493582589,2308.9129328071226
154,2441.40673828125,2329.2286273224827
155,2454.0289481026784,2326.11064519207
156,2462.665196010045,2341.255919417679
157,2469.9727957589284,2337.5561679061716
158,2476.6160714285716,2348.1845694199687
159,2480.602068219866,2386.94427287862
160,2481.9306989397323,2397.312525110821
161,2491.8956124441966,2411.775346282756
162,2488.573974609375,2434.703513213386
163,2480.6020159040177,2432.2878519830156
164,2479.27335030692,2441.967377104795
165,2474.623064313616,2439.909635873681
166,2464.6581508091517,2443.727175331521
167,2460.007829938616,2462.262456862268
168,2450.042898995536,2446.45093756292
169,2440.7423095703125,2456.1424132689817
170,2434.099051339286,2458.4030903594403
171,2430.113106863839,2442.98302738649
172,2432.1060791015625,2437.87489951731
173,2434.099051339286,2410.016070894093
174,2440.0780203683034,2401.2489728822698
175,2444.063982282366,2404.2907700378823
176,2452.7002301897323,2380.734898667823
177,2467.9797886439733,2393.77134291451
178,2479.9377092633927,2399.1055609000814
179,2505.1821812220983,2383.908002868238
180,2529.7623291015625,2385.466956587868
181,2548.363525390625,2366.673617127774
182,2571.615025111608,2374.692683254675
183,2596.8594970703125,2390.160847329362
184,2618.782331194196,2398.4042856761635
185,2632.0688999720983,2435.3202380535063
186,2624.76131766183,2438.026970702303
187,2618.1180245535716,2451.3868276361304
188,2606.1601213727677,2468.067005030501
189,2596.859531947545,2479.052280867429
190,2592.8735874720983,2499.446998621356
191,2582.9086739676345,2514.5735253678718
192,2572.2794189453125,2516.2462337116394
193,2549.02791922433,2531.7061070684804
194,2529.0980573381703,2516.095432276227
195,2510.4968610491073,2503.161090834002
196,2489.2383335658483,2496.315049245564
197,2465.322527204241,2479.973745606749
198,2440.07803780692,2484.5224367492124
199,2418.819510323661,2477.2735857793073
200,2413.5048828125,2459.8900418087696
201,2404.868634905134,2464.2656735525943
202,2400.882655552455,2434.7560957842284
203,2397.56103515625,2399.435695790881
204,2389.589093889509,2375.09205684316
205,2378.9598214285716,2348.3787664145566
