Day,Forecast,Signal,Confidence
1378,4817.711932790493,hold,50
1379,4852.758514411824,hold,50
1380,4925.015330901165,hold,50
1381,4946.436155325411,hold,50
1382,4935.849132893857,hold,50
1383,4946.849048005183,hold,50
1384,4996.272182268077,hold,50
1385,4996.897496579772,hold,50
1386,4965.118503408998,hold,50
1387,4956.453433661216,hold,50
1388,4999.580402704486,hold,50
1389,4993.375061923829,hold,50
1390,4970.010773764475,hold,50
1391,4965.550517023289,hold,50
1392,5005.824284118784,hold,50
1393,4996.566465400911,hold,50
1394,4971.647107488869,hold,50
1395,4961.8924432381,hold,50
1396,4999.47344497702,hold,50
1397,4989.512334386365,hold,50
1398,4948.743215580984,hold,50
1399,4945.193294581669,hold,50
1400,4986.355886367701,hold,50
1401,4987.625635925611,hold,50
1402,4948.704674947344,hold,50
1403,4955.299007239624,hold,50
1404,4990.356941915827,hold,50
1405,4984.672646600815,hold,50
1406,4944.356753696457,hold,50
1407,4944.182275168971,hold,50
