day,type,price,shares,value
34,BUY,4141.453125,10687.43394118334,44261506.69394481
40,BUY,4030.611083984375,7273.852819252081,29318071.79654843
51,BUY,4050.764404296875,11984.499984525874,48546385.94061386
53,SELL,4070.91748046875,11984.499984525874,48787910.48168384
57,BUY,4321.0673828125,9346.346132615572,40386191.4221209
59,SELL,4384.61279296875,9346.346132615572,40980108.82058024
64,BUY,4426.9765625,9040.428725257629,40021766.081667274
65,BUY,4384.61279296875,5550.80392131478,24338125.88465789
67,BUY,4321.0673828125,3317.044702092333,14333173.669542186
70,SELL,4426.9765625,17908.277348664742,79279524.09728846
78,BUY,4384.61279296875,10871.201690097045,47666010.005343
80,SELL,4342.24951171875,10871.201690097045,47205470.230619945
81,BUY,4278.7041015625,10946.695869354147,46837672.51476286
82,BUY,4299.88623046875,5779.1563208026655,24849714.687545825
86,BUY,4227.8681640625,3119.793777475672,13190076.79022968
95,SELL,4363.43115234375,19845.645967632485,86595109.85355271
102,BUY,4321.0673828125,10159.17594276308,43898483.80252697
105,BUY,4342.24951171875,5903.146718697406,25632935.956867952
116,BUY,4469.33984375,3121.637560010404,13951659.124701029
134,BUY,4787.0654296875,9627.823617617232,46089021.6030243
141,BUY,5062.42724609375,5224.378406449796,26448035.588715293
143,BUY,5041.24560546875,2323.7343112164453,11714515.384696858
157,SELL,5168.3359375,17175.936335283473,88771009.02185762
159,BUY,5125.97265625,10460.600711889287,53620753.217093766
170,SELL,5083.60888671875,10460.600711889287,53177602.73937686
178,BUY,5189.517578125,10519.458192176076,54590913.200648785
182,BUY,5083.60888671875,10080.246377157126,51244030.06323045
191,BUY,4808.24658203125,7796.100691935291,37485574.505169325
193,BUY,4956.51904296875,4584.607366853928,22723693.718346313
222,BUY,5062.42724609375,4315.015177420435,21844450.401481267
226,BUY,4892.9736328125,10890.569403400943,53287268.93715537
240,BUY,5168.3359375,4334.453723841116,22401912.95035874
242,BUY,5443.6982421875,1548.594878185586,8430083.21623944
249,BUY,5528.4248046875,619.854253660018,3426817.631225101
255,BUY,5422.5166015625,384.3007771979974,2083877.3443495121
256,SELL,5316.607421875,17777.77303628566,94517440.0691256
259,BUY,5634.33349609375,8147.198860137708,45904035.437010705
267,BUY,5952.05908203125,3841.9774396330185,22867676.712526876
276,BUY,5994.42236328125,1858.699247559216,11141828.336182997
282,BUY,5994.42236328125,1449.8368387638584,8690934.369395064
287,BUY,6269.78466796875,685.7300452509062,4299379.724079649
289,BUY,6163.8759765625,237.58719417546126,1464457.9985170157
291,SELL,6278.7255859375,16221.029625520168,101847393.74000366
292,BUY,6278.7255859375,8691.211124280979,54569729.658807606
301,BUY,6078.3408203125,6074.595161191469,36923459.735142894
305,BUY,5989.28076171875,3308.4396085506587,19815173.698800772
310,BUY,6011.5458984375,1978.7034414855643,11895066.55788671
361,BUY,5744.3662109375,6122.9940928983515,35172720.377015196
364,SELL,5967.015625,6122.9940928983515,36536001.424107164
365,BUY,5900.220703125,6660.941771957109,39301026.54521146
370,BUY,5766.630859375,4470.813585141496,25781531.586589932
377,SELL,6056.07568359375,11131.755357098606,67414752.93383932
389,BUY,6278.7255859375,7900.365816001891,49604228.98719707
392,BUY,6323.25537109375,3560.067833732319,22511218.051105976
395,BUY,6300.990234375,1821.3465817038323,11476287.024728134
399,SELL,6456.84521484375,13281.780231438042,85758399.13196704
412,BUY,6278.7255859375,8210.465401542266,51551259.189118035
416,BUY,6278.7255859375,3387.074600436341,21266511.95523869
417,SELL,6189.666015625,11597.540001978607,71784899.21509847
418,BUY,6122.87060546875,6805.552361722276,41669516.50956775
421,BUY,6189.666015625,3292.8712322736274,20381773.160233285
571,BUY,5146.03955078125,6044.140244965134,31103384.751059253
685,BUY,4842.17822265625,11958.586764916154,57905608.40682226
687,BUY,4999.009765625,3936.0900135742195,19676552.41623656
691,BUY,4734.3564453125,8501.308378739448,40248224.11647426
697,BUY,4851.98046875,4916.18403433415,23853228.915369876
701,SELL,4724.5546875,13417.492413073598,63391676.67468256
703,BUY,4900.990234375,7488.5824869766375,36701469.63798415
707,BUY,4999.009765625,4342.724267028793,21709321.02029361
710,BUY,4974.5048828125,2481.38274757231,12343650.593925154
712,SELL,4974.5048828125,14312.68950157774,71198543.81177768
714,BUY,4880.0,7494.555416883983,36573430.43439384
722,BUY,5000.0,5002.280212447871,25011401.062239356
724,BUY,4990.0,2593.1749934459967,12939943.217295524
737,BUY,5000.0,4488.758964255372,22443794.821276862
751,BUY,5100.0,6302.316166539823,32141812.449353095
754,BUY,4980.0,3489.607537825398,17378245.538370483
